Common_names,Clade1,Clade2,Family,Genus,Species,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,Taxon group,Prey size
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Tursiops,truncatus,-0.002380906,0.5230902,-0.1701466,-0.1931264,-0.07962724,-0.3279146,0.002871299,-0.2711925,0.1073633,-0.3267838,0.1517083,-0.1774873,0.007186436,0.5211326,-0.008159932,0.2602422,-0.008814659,-0.007960465,Odontoceti,middle
oceanic dolphins,Cetacea,Odontoceti,Delphinidae,Tursiops,aduncus,-0.0881463,0.4157581,-0.33838,-0.1313878,-0.06658254,-0.2935818,0.01482488,-0.324957,0.07626917,-0.2961548,0.3161999,-0.1365312,0.07471799,0.4172557,0.002769613,0.235775,0.008327282,0.1138238,Odontoceti,middle
Dwarf sperm whale,Cetacea,Odontoceti,Kogiidae,Kogia,sima,-0.0137453,0.3140207,-0.2105707,-0.1630049,-0.2283424,-0.3034859,0.003329132,-0.2353075,0.2320366,-0.2927654,0.2139172,-0.1554507,0.004981519,0.3148245,-0.002034568,0.3093534,0.000428497,0.2118157,Odontoceti,middle
Pygmy sperm whale,Cetacea,Odontoceti,Kogiidae,Kogia,breviceps,-0.01206662,0.3947031,-0.1497347,-0.2392638,-0.09467614,-0.2884637,-0.002137094,-0.255623,0.105875,-0.2957469,0.1539227,-0.2310717,0.003681171,0.3943463,-0.002760194,0.3821616,-0.002104139,0.1389582,Odontoceti,middle
Beluga,Cetacea,Odontoceti,Monodontidae,Delphinapterus,leucas,-0.01493686,0.5583616,-0.2565358,-0.1464068,-0.1297923,-0.2864416,0.003020515,-0.2561592,0.1351108,-0.2848548,0.2590039,-0.1398683,0.008202985,0.5582103,-0.001014755,0.01689052,-0.00305842,-0.01973176,Odontoceti,small
Narwhal,Cetacea,Odontoceti,Monodontidae,Monodon,monoceros,-0.013467,0.5859128,-0.1919777,-0.1602145,-0.1057952,-0.2969441,0.005830222,-0.2457952,0.1206916,-0.2873292,0.1824477,-0.1534027,0.01477361,0.5835082,-0.006935528,0.0261095,-0.005567639,-0.05184474,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Neophocaena,phocaenoides,-0.01235526,0.4947459,-0.2249942,-0.2141216,-0.1848315,-0.3093457,0.002025169,-0.2319579,0.1868807,-0.3046015,0.2219041,-0.1926213,0.005759752,0.4949418,0.001424828,0.1586409,0.004186293,0.1043194,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Neophocaena,asiaeorientalis,-0.003638324,0.580697,-0.1916378,-0.06829956,-0.04297146,-0.2893975,0.003045283,-0.2774796,0.04908264,-0.2893176,0.2018038,-0.05014124,0.008240912,0.5792225,-0.01197994,-0.07259791,-0.01194515,-0.112686,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Phocoena,spinipinnis,-0.01224987,0.5885624,-0.2102255,-0.1379709,-0.05134659,-0.260822,0.001461267,-0.257572,0.05733755,-0.2637785,0.217228,-0.139343,0.004816568,0.5905144,-0.000711412,-0.05266912,-0.006309989,-0.06692141,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Phocoena,phocoena,-0.01824247,0.5334314,-0.1851483,-0.234895,-0.101964,-0.3474222,-0.003872564,-0.2448638,0.1447259,-0.3107968,0.1422532,-0.1496051,0.05438353,0.5367779,-0.006516112,0.1570782,-0.02561924,0.06029547,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Phocoena,dioptrica,-0.01487446,0.5631791,-0.2268021,-0.04307814,-0.04738532,-0.3082152,-0.000547886,-0.2978396,0.05478155,-0.3041585,0.2170571,-0.02828363,0.008567408,0.5650164,0.007824992,-0.0548594,0.001378691,-0.09176112,Odontoceti,middle
porpoises,Cetacea,Odontoceti,Phocoenidae,Phocoena,sinus,-0.006765953,0.5598279,-0.2253424,-0.0513545,-0.03598823,-0.3186334,0.00517531,-0.3064936,0.04916131,-0.3227863,0.2370211,-0.04414817,0.009027802,0.5612206,-0.008833076,-0.02075782,-0.02345581,-0.05687467,Odontoceti,middle
